date_comptage,comptage_h
2019-04-12,44.962037037037035
2019-04-13,31.991666666666667
2019-04-14,28.15740740740741
2019-04-15,46.39351851851852
2019-04-16,42.77407407407407
2019-04-17,51.391666666666666
2019-04-18,53.025
2019-04-19,46.90462962962963
2019-04-20,31.57962962962963
2019-04-21,27.814814814814813
2019-04-22,27.853703703703705
2019-04-23,36.800925925925924
2019-04-24,36.70185185185185
2019-04-25,34.035185185185185
2019-04-26,38.821296296296296
2019-04-27,21.266666666666666
2019-04-28,17.460185185185185
2019-04-29,36.76481481481481
2019-04-30,40.660185185185185
2019-05-01,34.22592592592593
2019-05-02,32.403703703703705
2019-05-03,32.55833333333333
2019-05-04,15.99537037037037
2019-05-05,20.56574074074074
2019-05-06,41.31296296296296
2019-05-07,46.06574074074074
2019-05-08,17.006481481481483
2019-05-09,34.083333333333336
2019-05-10,33.59351851851852
2019-05-11,18.612037037037037
2019-05-12,33.30462962962963
2019-05-13,49.647222222222226
2019-05-14,54.76203703703704
2019-05-15,54.17407407407408
2019-05-16,53.737037037037034
2019-05-17,47.24629629629629
2019-05-18,28.97685185185185
2019-05-19,18.316666666666666
2019-05-20,38.275
2019-05-21,47.522222222222226
2019-05-22,49.97962962962963
2019-05-23,50.64537037037037
2019-05-24,46.08796296296296
2019-05-25,28.524074074074075
2019-05-26,31.12037037037037
2019-05-27,42.0787037037037
2019-05-28,37.84351851851852
2019-05-29,42.599074074074075
2019-05-30,25.68888888888889
2019-05-31,33.81481481481482
2019-06-01,31.772222222222222
2019-06-02,31.987037037037037
2019-06-03,39.61944444444445
2019-06-04,37.47962962962963
2019-06-05,26.991666666666667
2019-06-06,43.18611111111111
2019-06-07,31.299074074074074
2019-06-08,24.971296296296295
2019-06-09,24.753703703703703
2019-06-10,28.033333333333335
2019-06-11,38.63611111111111
2019-06-12,35.63148148148148
2019-06-13,42.50833333333333
2019-06-14,44.3537037037037
2019-06-15,35.03425925925926
2019-06-16,32.56481481481482
2019-06-17,48.69722222222222
2019-06-18,51.84166666666667
2019-06-19,44.44722222222222
2019-06-20,39.18333333333333
2019-06-21,50.037962962962965
2019-06-22,38.00648148148148
2019-06-23,34.787962962962965
2019-06-24,48.34537037037037
2019-06-25,49.900925925925925
2019-06-26,48.88611111111111
2019-06-27,49.37407407407407
2019-06-28,46.99444444444445
2019-06-29,32.867592592592594
2019-06-30,35.75648148148148
2019-07-01,52.42314814814815
2019-07-02,57.33796296296296
2019-07-03,57.525925925925925
2019-07-04,56.88981481481481
2019-07-05,52.49814814814815
2019-07-06,38.81944444444444
2019-07-07,35.61851851851852
