,jour_comptage,heure_comptage,comptage_h
100,Vendredi,4,2.7414883827927308
101,Vendredi,5,4.905912123303428
102,Vendredi,6,11.56561996779388
103,Vendredi,7,39.65318916431817
104,Vendredi,8,113.80865014090988
105,Vendredi,9,117.43148872526461
106,Vendredi,10,63.737535223417105
107,Vendredi,11,54.85204140310523
108,Vendredi,12,70.03042678016796
109,Vendredi,13,68.87150580927182
110,Vendredi,14,67.9946502531063
111,Vendredi,15,69.08908954966354
112,Vendredi,16,81.62527320832854
113,Vendredi,17,110.15220892774965
114,Vendredi,18,136.6971004487401
115,Vendredi,19,123.10390656463954
116,Vendredi,20,82.0372202726802
117,Vendredi,21,48.74593039976992
118,Vendredi,22,36.28680699332873
119,Vendredi,23,32.55043708304578
120,Samedi,0,26.711919005982512
121,Samedi,1,18.666148889655965
122,Samedi,2,14.69404659188956
123,Samedi,3,8.23956056597262
124,Samedi,4,5.866214195329576
125,Samedi,5,5.426607615322673
126,Samedi,6,6.6833084090647645
127,Samedi,7,11.481249281030715
128,Samedi,8,23.48389694041868
129,Samedi,9,37.50445837887591
130,Samedi,10,50.06637524444956
131,Samedi,11,61.01369232539409
132,Samedi,12,72.12386376711541
133,Samedi,13,72.20041417395306
134,Samedi,14,75.4930671422818
135,Samedi,15,87.47370540851554
136,Samedi,16,92.98872331856624
137,Samedi,17,92.49384420665056
138,Samedi,18,90.14701651418379
139,Samedi,19,81.76458405246807
140,Samedi,20,61.31998619261305
141,Samedi,21,40.50083414830581
142,Samedi,22,30.818176589013518
143,Samedi,23,28.140013805798436
144,Dimanche,0,24.586363636363636
145,Dimanche,1,18.45584258673264
146,Dimanche,2,15.14566766802144
147,Dimanche,3,8.702077594123049
148,Dimanche,4,5.849976990335941
149,Dimanche,5,4.515904515386827
150,Dimanche,6,4.873339085418464
151,Dimanche,7,7.5035375323554785
152,Dimanche,8,14.996836353178027
153,Dimanche,9,26.191728025770825
154,Dimanche,10,41.494822229892996
155,Dimanche,11,55.075714861055175
156,Dimanche,12,67.34553406998158
157,Dimanche,13,63.171338129496405
158,Dimanche,14,64.74968350788353
159,Dimanche,15,77.09244761685471
160,Dimanche,16,84.63551079136691
161,Dimanche,17,85.62685622194083
162,Dimanche,18,83.62448909101376
163,Dimanche,19,68.926614481409
164,Dimanche,20,48.2728998849252
165,Dimanche,21,33.72062377718955
166,Dimanche,22,25.550684616269706
167,Dimanche,23,18.077086808951275
