annee,semaine,temp,pluie,comptage,conges_0,conges_1,feries_0,feries_1,mois_aout,mois_avril,mois_decembre,mois_fevrier,mois_janvier,mois_juillet,mois_juin,mois_mai,mois_mars,mois_novembre,mois_octobre,mois_septembre,jour_dimanche,jour_jeudi,jour_lundi,jour_mardi,jour_mercredi,jour_samedi,jour_vendredi,ouvre_0,ouvre_1
2019,10,9.875000000000007,0.3375,29.47685185185185,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2019,10,9.18750000000002,0.375,33.59814814814815,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2019,10,8.350000000000028,0.025,35.1462962962963,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019,10,11.125000000000021,0.0,24.330555555555556,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
2019,10,11.362500000000018,0.0875,20.34351851851852,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2019,11,6.4217391304348075,0.1173913043478261,37.70531400966183,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2019,11,7.100000000000023,0.0,3.6222222222222222,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2019,11,7.10000000000003,0.275,37.047222222222224,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2019,11,7.35000000000003,-0.0375,37.67314814814815,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2019,11,8.737500000000018,0.1125,25.98611111111111,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
2019,11,12.250000000000014,0.0375,36.39351851851852,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2019,11,11.150000000000034,-0.0125,29.397222222222222,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
2019,11,7.512500000000024,0.1375,20.125,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2019,12,6.58750000000002,0.0,41.55462962962963,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2019,12,6.700000000000017,0.0,46.525,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2019,12,7.837500000000034,0.0,46.35462962962963,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2019,12,9.637500000000024,0.0,49.568518518518516,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
2019,12,10.925000000000026,0.0,47.59444444444444,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2019,12,8.062500000000028,0.0,32.648148148148145,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
2019,12,9.15000000000002,0.0,27.79074074074074,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2019,13,7.462500000000027,0.0,43.69444444444444,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2019,13,8.887500000000026,0.0,48.471296296296295,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2019,13,8.462500000000027,0.0,48.19722222222222,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2019,13,9.31250000000002,0.0,48.27777777777778,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
2019,13,11.237500000000018,0.0,48.52685185185185,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2019,13,11.71250000000002,0.0,40.05833333333333,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
2019,13,12.38240223463689,0.0,37.8975791433892,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2019,14,13.866666666666687,0.0,49.24907407407407,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2019,14,12.666666666666691,-0.0375,32.13703703703704,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2019,14,7.18333333333335,-0.0125,41.38425925925926,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2019,14,6.487500000000021,0.0,47.46574074074074,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2019,14,8.375000000000023,0.0,45.56666666666667,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019,14,10.75000000000003,0.0,36.037962962962965,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2019,14,11.89583333333336,0.0,30.017592592592592,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2019,15,11.083333333333353,0.0,46.04074074074074,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2019,15,10.991666666666692,0.05,44.382407407407406,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2019,15,10.883333333333352,0.025,39.224074074074075,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2019,15,8.825000000000024,0.0,50.98796296296296,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2019,15,7.112500000000016,0.0,44.962037037037035,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019,15,5.35833333333336,0.0,31.991666666666667,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2019,15,5.129166666666687,0.0,28.15740740740741,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2019,16,9.200000000000017,0.0,46.39351851851852,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2019,16,10.908333333333358,-0.025,42.77407407407407,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2019,16,11.562500000000021,0.0,51.391666666666666,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
