,id_compteur,nom_compteur,comptage_h,date_heure_comptage,id_site,nom_site,date_inst_site,coord_geo,jour_comptage,date_comptage,heure_comptage,semaine_comptage,mois_comptage,latitude,longitude,conges,nom_jour_ferie,feries,temp,pluie
31,100044494-SC,10  avenue de la Grande Armée SE-NO,0,2019-01-02 07:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",2,2019-01-02,7,1,1,48.874716,2.292439,1,0,0,5.300000000000011,0.0
32,100044494-SC,10  avenue de la Grande Armée SE-NO,14,2019-01-02 08:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",2,2019-01-02,8,1,1,48.874716,2.292439,1,0,0,5.300000000000011,0.0
33,100044494-SC,10  avenue de la Grande Armée SE-NO,21,2019-01-02 09:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",2,2019-01-02,9,1,1,48.874716,2.292439,1,0,0,5.7000000000000455,0.0
34,100044494-SC,10  avenue de la Grande Armée SE-NO,12,2019-01-02 10:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",2,2019-01-02,10,1,1,48.874716,2.292439,1,0,0,5.7000000000000455,0.0
35,100044494-SC,10  avenue de la Grande Armée SE-NO,14,2019-01-02 11:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",2,2019-01-02,11,1,1,48.874716,2.292439,1,0,0,5.7000000000000455,0.0
36,100044494-SC,10  avenue de la Grande Armée SE-NO,18,2019-01-02 12:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",2,2019-01-02,12,1,1,48.874716,2.292439,1,0,0,6.400000000000034,0.0
37,100044494-SC,10  avenue de la Grande Armée SE-NO,3,2019-01-02 13:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",2,2019-01-02,13,1,1,48.874716,2.292439,1,0,0,6.400000000000034,0.0
38,100044494-SC,10  avenue de la Grande Armée SE-NO,21,2019-01-02 14:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",2,2019-01-02,14,1,1,48.874716,2.292439,1,0,0,6.400000000000034,0.0
39,100044494-SC,10  avenue de la Grande Armée SE-NO,4,2019-01-02 15:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",2,2019-01-02,15,1,1,48.874716,2.292439,1,0,0,6.5,0.0
40,100044494-SC,10  avenue de la Grande Armée SE-NO,8,2019-01-02 16:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",2,2019-01-02,16,1,1,48.874716,2.292439,1,0,0,6.5,0.0
41,100044494-SC,10  avenue de la Grande Armée SE-NO,17,2019-01-02 17:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",2,2019-01-02,17,1,1,48.874716,2.292439,1,0,0,6.5,0.0
42,100044494-SC,10  avenue de la Grande Armée SE-NO,36,2019-01-02 18:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",2,2019-01-02,18,1,1,48.874716,2.292439,1,0,0,5.800000000000011,0.0
43,100044494-SC,10  avenue de la Grande Armée SE-NO,21,2019-01-02 19:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",2,2019-01-02,19,1,1,48.874716,2.292439,1,0,0,5.800000000000011,0.0
44,100044494-SC,10  avenue de la Grande Armée SE-NO,6,2019-01-02 20:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",2,2019-01-02,20,1,1,48.874716,2.292439,1,0,0,5.800000000000011,0.0
45,100044494-SC,10  avenue de la Grande Armée SE-NO,8,2019-01-02 21:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",2,2019-01-02,21,1,1,48.874716,2.292439,1,0,0,4.300000000000011,0.0
46,100044494-SC,10  avenue de la Grande Armée SE-NO,5,2019-01-02 22:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",2,2019-01-02,22,1,1,48.874716,2.292439,1,0,0,4.300000000000011,0.0
47,100044494-SC,10  avenue de la Grande Armée SE-NO,4,2019-01-02 23:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",2,2019-01-02,23,1,1,48.874716,2.292439,1,0,0,4.300000000000011,0.0
48,100044494-SC,10  avenue de la Grande Armée SE-NO,2,2019-01-03 00:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",3,2019-01-03,0,1,1,48.874716,2.292439,1,0,0,3.7000000000000455,0.0
49,100044494-SC,10  avenue de la Grande Armée SE-NO,1,2019-01-03 01:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",3,2019-01-03,1,1,1,48.874716,2.292439,1,0,0,3.7000000000000455,0.0
